date,repo,stars,forks,watchers,open_issues
2026-08-09,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-10,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-11,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-12,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-13,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-14,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-15,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-16,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-17,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-18,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-19,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-20,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-21,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-22,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-23,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-24,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-25,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-28,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-29,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-30,desiria-ja/desiria-odata-pg,0,0,0,0
2026-08-31,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-01,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-02,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-03,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-04,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-05,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-06,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-07,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-08,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-09,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-10,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-11,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-12,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-13,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-14,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-15,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-16,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-17,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-18,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-19,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-20,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-22,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-23,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-24,desiria-ja/desiria-odata-pg,0,0,0,0
2026-09-25,desiria-ja/desiria-odata-pg,0,0,0,0
